Algoritmo: Bolha
Teste,Tamanho,Aleatorio,Crescente,Decrescente,Quase
1,1000,498747,000999,499500,493536
2,10000,49984994,009999,49994999,49931540
3,100000,4999824520,099999,4999950000,2718849984

Algoritmo: Selecao
Teste,Tamanho,Aleatorio,Crescente,Decrescente,Quase
1,1000,499499,499499,499499,499499
2,10000,49994999,49994999,49994999,49994999
3,100000,4999949999,4999949999,4999949999,4999949999

Algoritmo: Insercao
Teste,Tamanho,Aleatorio,Crescente,Decrescente,Quase
1,1000,249809,000999,499394,059032
2,10000,24985552,009999,49993681,5884993
3,100000,2499061426,099999,4999866217,145043810

Algoritmo: MergeSort
Teste,Tamanho,Aleatorio,Crescente,Decrescente,Quase
1,1000,008705,005044,005161,008048
2,10000,120451,069008,067275,114907
3,100000,1536379,853904,878146,1040706
4,1000000,18674046,10066432,10906528,10264517
5,10000000,220099725,118788160,128545059,118979215

Algoritmo: QuickSort
Teste,Tamanho,Aleatorio,Crescente,Decrescente,Quase
1,1000,011070,499500,385754,023323
2,10000,155476,49995000,39491539,333098

Algoritmo: ShellSort
Teste,Tamanho,Aleatorio,Crescente,Decrescente,Quase
1,1000,015427,008006,012454,012809
2,10000,266195,120005,180555,227822
3,100000,4359009,1500006,2273572,2131764
4,1000000,65254943,18000007,25896494,18564222
5,10000000,960414694,220000008,299719414,220341847

Algoritmo: HeapSort
Teste,Tamanho,Aleatorio,Crescente,Decrescente,Quase
1,1000,016857,017544,015990,017390
2,10000,235365,244433,226725,242537
3,100000,3019593,3115258,2926532,3103955
4,1000000,36793907,36015691,35948449,36007292
5,10000000,434637486,398307463,425588510,398413035
