Algoritmo: Bolha
Teste,Tamanho,Aleatorio,Crescente,Decrescente,Quase
1,1000,500955,000000,997982,114664
2,10000,50037335,000000,99979858,11743462
3,100000,4999366173,000000,9999594942,289808689

Algoritmo: Selecao
Teste,Tamanho,Aleatorio,Crescente,Decrescente,Quase
1,1000,001990,000710,001612,000930
2,10000,019989,007406,015604,009325
3,100000,199995,137650,188144,152294

Algoritmo: Insercao
Teste,Tamanho,Aleatorio,Crescente,Decrescente,Quase
1,1000,249808,000000,500041,059019
2,10000,24985551,000000,50000001,5884979
3,100000,2499061423,000000,4999897404,144976567

Algoritmo: MergeSort
Teste,Tamanho,Aleatorio,Crescente,Decrescente,Quase
1,1000,019952,019952,019952,019952
2,10000,267232,267232,267232,267232
3,100000,3337856,3337856,3337856,3337856
4,1000000,39902848,39902848,39902848,39902848
5,10000000,466445568,466445568,466445568,466445568

Algoritmo: QuickSort
Teste,Tamanho,Aleatorio,Crescente,Decrescente,Quase
1,1000,010321,001998,160406,006999
2,10000,147292,019998,15236224,106422

Algoritmo: ShellSort
Teste,Tamanho,Aleatorio,Crescente,Decrescente,Quase
1,1000,011317,000000,008683,007603
2,10000,203364,000000,120584,154647
3,100000,3623634,000000,1536286,833789
4,1000000,55631186,000000,15765130,744330
5,10000000,839859725,000000,159406902,479185

Algoritmo: HeapSort
Teste,Tamanho,Aleatorio,Crescente,Decrescente,Quase
1,1000,018163,019338,016634,019139
2,10000,248373,262318,233396,259983
3,100000,3149864,3296238,2995346,3284004
4,1000000,38096273,37612754,36600382,37616973
5,10000000,447661317,411409682,432149812,411537441
